GEOID,all,count
17031120400,all,1
17031130100,all,3
17031130200,all,0
17031130300,all,0
17031140100,all,11
17031140200,all,3
17031140301,all,1
17031140302,all,4
17031140400,all,1
17031140500,all,0
17031140601,all,1
17031140602,all,6
17031140701,all,3
17031140702,all,7
17031140800,all,7
17031150200,all,3
17031150300,all,2
17031150401,all,0
17031150402,all,1
17031150501,all,0
17031150502,all,1
17031150600,all,5
17031150700,all,1
17031150800,all,3
17031151001,all,2
17031151002,all,4
17031151100,all,2
17031151200,all,0
17031160100,all,0
17031160200,all,2
17031160300,all,2
17031160400,all,1
17031160501,all,1
17031160502,all,7
17031160601,all,3
17031160602,all,5
17031160700,all,1
17031160800,all,5
17031160900,all,1
17031161000,all,4
17031161100,all,0
17031161200,all,2
17031161300,all,4
17031170100,all,0
17031170200,all,0
17031170300,all,1
17031170400,all,3
17031170500,all,1
17031170600,all,0
17031170700,all,0
17031170800,all,2
17031170900,all,0
17031171000,all,3
17031171100,all,1
17031180100,all,2
17031190100,all,4
17031190200,all,6
17031190300,all,6
17031190401,all,2
17031190402,all,2
17031190601,all,4
17031190602,all,8
17031190701,all,1
17031190702,all,4
17031190800,all,8
17031190900,all,0
17031191000,all,2
17031191100,all,11
17031191200,all,2
17031191301,all,11
17031191302,all,8
17031200100,all,4
17031200200,all,10
17031200300,all,1
17031200401,all,3
17031200402,all,8
17031210100,all,1
17031210400,all,0
17031210501,all,5
17031210502,all,7
17031210601,all,4
17031210602,all,8
17031210700,all,7
17031210800,all,1
17031210900,all,4
17031220300,all,2
17031220400,all,0
17031220500,all,3
17031220601,all,1
17031220602,all,5
17031220701,all,8
17031220702,all,5
17031220901,all,8
17031220902,all,6
17031221000,all,1
17031221100,all,4
17031221200,all,3
17031221300,all,1
17031221400,all,3
17031221500,all,1
17031221600,all,2
17031222200,all,0
17031222500,all,2
17031222600,all,2
17031222700,all,3
17031222800,all,2
17031222900,all,2
17031230100,all,1
17031230200,all,5
17031230300,all,0
17031230400,all,6
17031230500,all,12
17031230600,all,33
17031230700,all,13
17031230800,all,1
17031230900,all,19
17031231100,all,7
17031231200,all,68
17031231500,all,70
17031240200,all,0
17031240300,all,0
17031240500,all,1
17031240600,all,3
17031240700,all,1
17031240800,all,5
17031240900,all,8
17031241000,all,5
17031241100,all,11
17031241200,all,0
17031241300,all,0
17031241400,all,4
17031241500,all,1
17031241600,all,5
17031242000,all,7
17031242100,all,3
17031242200,all,3
17031242300,all,0
17031242400,all,3
17031242500,all,4
17031242600,all,9
17031242700,all,1
17031242800,all,0
17031242900,all,2
17031243000,all,1
17031243100,all,1
17031243200,all,8
17031243300,all,2
17031243400,all,4
17031243500,all,2
17031250200,all,12
17031250300,all,23
17031250400,all,27
17031250500,all,3
17031250600,all,13
17031250700,all,29
17031250800,all,23
17031251000,all,12
17031251100,all,30
17031251200,all,27
17031251300,all,28
17031251400,all,30
17031251500,all,27
17031251600,all,46
17031251700,all,17
17031251800,all,39
17031251900,all,53
17031252000,all,22
17031252101,all,11
17031252102,all,43
17031252201,all,14
17031252202,all,46
17031260100,all,8
17031260200,all,14
17031260300,all,13
17031260400,all,11
17031260500,all,34
17031260600,all,26
17031260700,all,39
17031260800,all,29
17031260900,all,17
17031261000,all,17
17031270500,all,24
17031271200,all,20
17031271300,all,9
17031271400,all,11
17031271500,all,16
17031271800,all,12
17031280100,all,6
17031280400,all,5
17031280800,all,10
17031280900,all,7
17031281900,all,1
17031282700,all,9
