id,GEOID
224,17031010100
730,17031010201
730,17031010202
224,17031010300
224,17031010400
224,17031010501
224,17031010502
224,17031010503
224,17031010600
730,17031010701
730,17031010702
730,17031020100
730,17031020200
271,17031020301
271,17031020302
730,17031020400
703,17031020500
271,17031020601
271,17031020602
324,17031020701
271,17031020702
324,17031020801
324,17031020802
324,17031020901
703,17031020902
703,17031030101
703,17031030102
224,17031030103
224,17031030104
224,17031030200
703,17031030300
703,17031030400
703,17031030500
703,17031030601
703,17031030603
324,17031030604
324,17031030701
324,17031030702
324,17031030703
324,17031030706
324,17031030800
324,17031030900
324,17031031000
324,17031031100
324,17031031200
408,17031031300
408,17031031400
408,17031031501
408,17031031502
214,17031031700
324,17031031800
324,17031031900
408,17031032100
324,17031040100
324,17031040201
324,17031040202
324,17031040300
365,17031040401
258,17031040402
365,17031040600
365,17031040700
365,17031040800
365,17031040900
258,17031050100
365,17031050200
365,17031050300
258,17031050500
258,17031050600
258,17031050700
365,17031050800
365,17031050900
365,17031051000
258,17031051100
258,17031051200
258,17031051300
258,17031051400
324,17031060100
324,17031060200
258,17031060300
258,17031060400
258,17031060500
408,17031060800
408,17031060900
408,17031061000
408,17031061100
258,17031061200
258,17031061500
258,17031061800
258,17031061901
258,17031061902
258,17031062000
258,17031062100
258,17031062200
258,17031062300
258,17031062400
258,17031062500
258,17031062600
258,17031062700
258,17031062800
258,17031062900
258,17031063000
258,17031063100
258,17031063200
258,17031063301
258,17031063302
258,17031063303
258,17031063400
258,17031070101
258,17031070102
258,17031070103
258,17031070200
258,17031070300
258,17031070400
258,17031070500
258,17031070600
258,17031070700
258,17031071000
258,17031071100
258,17031071200
258,17031071300
258,17031071400
258,17031071500
258,17031071600
258,17031071700
258,17031071800
408,17031080100
408,17031080201
408,17031080202
408,17031080300
408,17031080400
408,17031081000
408,17031081100
408,17031081201
408,17031081202
408,17031081300
408,17031081401
408,17031081402
408,17031081403
408,17031081500
408,17031081600
408,17031081700
634,17031081800
492,17031081900
271,17031090100
271,17031090200
271,17031090300
457,17031100100
271,17031100200
271,17031100300
271,17031100400
457,17031100500
457,17031100600
457,17031100700
457,17031110100
457,17031110200
457,17031110300
457,17031110400
457,17031110501
457,17031110502
271,17031120100
271,17031120200
271,17031120300
457,17031120400
271,17031130100
271,17031130200
324,17031130300
365,17031140100
365,17031140200
271,17031140301
271,17031140302
271,17031140400
367,17031140500
367,17031140601
367,17031140602
365,17031140701
365,17031140702
365,17031140800
457,17031150200
457,17031150300
457,17031150401
271,17031150402
457,17031150501
457,17031150502
271,17031150600
457,17031150700
457,17031150800
457,17031151001
367,17031151002
457,17031151100
271,17031151200
367,17031160100
367,17031160200
367,17031160300
367,17031160400
367,17031160501
