GEOID,all,count
17031100100,all,105
17031100200,all,68
17031100300,all,126
17031100400,all,36
17031100500,all,71
17031100600,all,296
17031100700,all,37
17031110100,all,106
17031110200,all,93
17031110300,all,116
17031110400,all,161
17031110501,all,73
17031110502,all,345
17031120100,all,13
17031120200,all,39
17031120300,all,95
17031120400,all,147
17031130100,all,333
17031130200,all,111
17031130300,all,159
17031140100,all,359
17031140200,all,423
17031140301,all,201
17031140302,all,173
17031140400,all,188
17031140500,all,174
17031140601,all,150
17031140602,all,478
17031140701,all,275
17031140702,all,658
17031140800,all,317
17031150200,all,699
17031150300,all,545
17031150401,all,199
17031150402,all,196
17031150501,all,106
17031150502,all,176
17031150600,all,286
17031150700,all,298
17031150800,all,530
17031151001,all,379
17031151002,all,772
17031151100,all,546
17031151200,all,313
17031160100,all,103
17031160200,all,115
17031160300,all,199
17031160400,all,323
17031160501,all,367
17031160502,all,241
17031160601,all,181
17031160602,all,162
17031160700,all,274
17031160800,all,351
17031160900,all,249
17031161000,all,208
17031161100,all,287
17031161200,all,218
17031161300,all,444
17031170100,all,67
17031170200,all,221
17031170300,all,221
17031170400,all,87
17031170500,all,89
17031170600,all,38
17031170700,all,39
17031170800,all,110
17031170900,all,26
17031171000,all,284
17031171100,all,220
17031180100,all,156
17031190100,all,290
17031190200,all,479
17031190300,all,382
17031190401,all,301
17031190402,all,251
17031190601,all,344
17031190602,all,372
17031190701,all,166
17031190702,all,475
17031190800,all,568
17031190900,all,216
17031191000,all,314
17031191100,all,866
17031191200,all,778
17031191301,all,610
17031191302,all,553
17031200100,all,159
17031200200,all,903
17031200300,all,248
17031200401,all,367
17031200402,all,585
17031210100,all,245
17031210400,all,204
17031210501,all,294
17031210502,all,390
17031210601,all,215
17031210602,all,297
17031210700,all,284
17031210800,all,78
17031210900,all,122
17031220300,all,77
17031220400,all,126
17031220500,all,198
17031220601,all,161
17031220602,all,379
17031220701,all,302
17031220702,all,537
17031220901,all,707
17031220902,all,361
17031221000,all,484
17031221100,all,496
17031221200,all,172
17031221300,all,255
17031221400,all,290
17031221500,all,114
17031221600,all,112
17031222200,all,107
17031222500,all,352
17031222600,all,212
17031222700,all,273
17031222800,all,185
17031222900,all,390
17031230100,all,257
17031230200,all,484
17031230300,all,136
17031230400,all,481
17031230500,all,778
17031230600,all,2712
17031230700,all,3665
17031230800,all,455
17031230900,all,2156
17031231100,all,1700
17031231200,all,12094
17031231500,all,11261
17031240200,all,50
17031240300,all,64
17031240500,all,107
17031240600,all,192
17031240700,all,219
17031240800,all,358
17031240900,all,1051
17031241000,all,1052
17031241100,all,1168
17031241200,all,139
17031241300,all,50
17031241400,all,326
17031241500,all,171
17031241600,all,236
17031242000,all,356
17031242100,all,312
17031242200,all,120
17031242300,all,70
17031242400,all,391
17031242500,all,344
17031242600,all,1216
17031242700,all,485
17031242800,all,120
17031242900,all,116
17031243000,all,113
17031243100,all,138
17031243200,all,116
17031243300,all,151
17031243400,all,182
17031243500,all,61
17031250200,all,1653
17031250300,all,1535
17031250400,all,2493
17031250500,all,159
17031250600,all,2032
17031250700,all,2780
17031250800,all,2505
17031251000,all,2002
17031251100,all,6716
17031251200,all,2941
17031251300,all,2560
17031251400,all,1773
17031251500,all,6257
17031251600,all,6958
17031251700,all,3170
17031251800,all,10245
17031251900,all,9872
17031252000,all,3113
17031252101,all,1287
17031252102,all,6189
17031252201,all,2003
17031252202,all,8512
17031260100,all,1690
17031260200,all,4053
17031260300,all,2344
17031260400,all,1820
17031260500,all,3945
17031260600,all,4473
17031260700,all,4706
17031260800,all,5428
17031260900,all,1574
17031261000,all,1383
17031270500,all,2411
17031271200,all,2453
17031271300,all,1868
17031271400,all,1574
17031271500,all,1318
17031271800,all,2179
17031280100,all,124
17031280400,all,442
17031280800,all,2505
17031280900,all,1005
17031281900,all,357
17031282700,all,356
17031282800,all,157
17031283100,all,174
17031283200,all,194
17031283800,all,86
17031290900,all,4083
17031291200,all,2268
17031291600,all,131
17031292200,all,2165
17031292400,all,1334
17031292500,all,2882
17031300500,all,361
17031300600,all,408
17031300700,all,1009
17031300800,all,1004
17031300900,all,802
17031301100,all,310
17031301200,all,468
17031301600,all,671
17031301701,all,252
17031301702,all,238
17031301801,all,266
17031301802,all,503
17031301803,all,410
17031310200,all,115
17031310300,all,134
17031310400,all,172
17031310500,all,247
17031310600,all,823
17031310700,all,300
17031310800,all,493
17031310900,all,537
17031320100,all,645
17031320400,all,619
17031320600,all,269
17031330100,all,759
17031330200,all,349
17031340300,all,24
17031340400,all,67
17031340500,all,540
17031340600,all,1666
17031350100,all,17
17031350400,all,3089
17031351000,all,467
17031351100,all,3575
17031351400,all,1236
17031351500,all,1517
17031360200,all,613
17031380100,all,539
17031380200,all,141
17031380500,all,711
17031380700,all,433
17031381200,all,670
17031381400,all,1102
17031381500,all,381
17031381700,all,350
17031381800,all,816
17031381900,all,173
17031390100,all,107
17031390200,all,176
17031390300,all,532
17031390400,all,779
17031390500,all,108
17031390600,all,42
17031390700,all,168
17031400300,all,681
17031400400,all,1155
17031400500,all,1033
17031400800,all,2288
17031410100,all,94
17031410200,all,17
17031410500,all,165
17031410600,all,31
17031410700,all,59
17031410800,all,174
17031410900,all,92
17031411000,all,79
17031411100,all,33
17031411200,all,17
17031420100,all,188
17031420200,all,113
17031420300,all,75
17031420400,all,375
17031420500,all,1831
17031420600,all,2395
17031420700,all,4475
17031420800,all,1097
17031421200,all,1143
17031430101,all,1495
17031430102,all,263
17031430200,all,1280
17031430300,all,1028
17031430400,all,1066
17031430500,all,1248
17031430600,all,479
17031430700,all,429
17031430800,all,307
17031430900,all,389
17031431200,all,871
17031431301,all,2674
17031431302,all,3020
17031431400,all,1248
17031440101,all,3285
17031440102,all,1074
17031440201,all,1482
17031440202,all,412
17031440300,all,520
17031440600,all,318
17031440700,all,313
17031440800,all,418
17031440900,all,729
17031450300,all,633
17031460100,all,2e3
17031460200,all,865
17031460301,all,1193
17031460302,all,2148
17031460400,all,1269
17031460500,all,1218
17031460600,all,761
17031460700,all,1147
17031461000,all,477
17031470100,all,958
17031480100,all,458
17031480200,all,104
17031480300,all,424
17031480400,all,588
17031480500,all,615
17031490300,all,451
17031490400,all,262
17031490500,all,357
17031490600,all,1600
17031490700,all,1430
17031490800,all,1329
17031490901,all,1343
17031490902,all,1439
17031491000,all,3581
17031491100,all,862
17031491200,all,964
17031491300,all,1946
17031491400,all,2110
17031500100,all,267
17031500200,all,639
17031500300,all,268
17031510100,all,385
17031510200,all,378
17031510300,all,1024
17031520100,all,414
17031520200,all,579
17031520300,all,622
17031520400,all,268
17031520500,all,150
17031520600,all,378
17031530100,all,1194
17031530200,all,3513
17031530300,all,992
17031530400,all,436
17031530501,all,2740
17031530502,all,246
17031530503,all,985
17031530600,all,1105
17031540101,all,1247
17031540102,all,950
17031550100,all,624
17031550200,all,215
17031560100,all,285
17031560200,all,1115
17031560300,all,178
17031560400,all,176
17031560700,all,144
17031560800,all,267
17031560900,all,187
17031561000,all,152
17031561100,all,397
17031570100,all,114
17031570200,all,119
17031570300,all,299
17031570400,all,332
17031570500,all,118
17031580100,all,331
17031580200,all,471
17031580300,all,183
17031580400,all,540
17031580501,all,826
17031580502,all,385
17031580600,all,544
17031580700,all,531
17031580800,all,176
17031590500,all,430
17031590600,all,307
17031590700,all,237
17031600400,all,113
17031600600,all,130
17031600700,all,119
17031600900,all,330
17031610300,all,917
17031610400,all,482
17031610800,all,122
17031611000,all,775
17031611100,all,924
17031611200,all,1349
17031611300,all,990
17031611400,all,729
17031611500,all,538
17031611600,all,600
17031611700,all,1727
17031611800,all,1543
17031611900,all,2600
17031612000,all,1275
17031612100,all,1013
17031620100,all,390
17031620200,all,151
17031620300,all,319
17031620400,all,306
17031630100,all,272
17031630200,all,261
17031630300,all,868
17031630400,all,792
17031630500,all,737
17031630800,all,765
17031630900,all,515
17031640100,all,89
17031640300,all,307
17031640400,all,99
17031640500,all,61
17031640600,all,181
17031640700,all,116
17031640800,all,66
17031650100,all,487
17031650200,all,327
17031650301,all,256
17031650302,all,326
17031650400,all,199
17031650500,all,170
17031660301,all,996
17031660302,all,885
17031660400,all,546
17031660500,all,678
17031660600,all,3424
17031660700,all,1538
17031660800,all,1511
17031660900,all,2248
17031661000,all,1734
17031661100,all,440
17031670100,all,2307
17031670200,all,2298
17031670300,all,1081
17031670400,all,653
17031670500,all,598
17031670600,all,830
17031670700,all,1617
17031670800,all,1343
17031670900,all,680
17031671100,all,759
17031671200,all,1074
17031671300,all,2101
17031671400,all,1004
17031671500,all,2465
17031671600,all,1863
17031671800,all,716
17031671900,all,350
17031672000,all,1248
17031680500,all,2154
17031680600,all,1090
17031680900,all,1848
17031681000,all,1833
17031681100,all,2129
17031681200,all,1946
17031681300,all,1457
17031681400,all,1593
17031690300,all,1055
17031690400,all,1499
17031690500,all,722
17031690900,all,1329
17031691000,all,909
17031691100,all,1371
17031691200,all,2126
17031691300,all,740
17031691400,all,1456
17031691500,all,2055
17031700100,all,526
17031700200,all,280
17031700301,all,195
17031700302,all,156
17031700401,all,547
17031700402,all,129
17031700501,all,395
