id,GEOID
1,17031010100
1,17031010201
574,17031010202
574,17031010300
539,17031010400
539,17031010501
560,17031010502
560,17031010503
560,17031010600
582,17031010701
279,17031010702
445,17031020100
445,17031020200
445,17031020301
445,17031020302
445,17031020400
447,17031020500
574,17031020601
447,17031020602
560,17031020701
560,17031020702
143,17031020801
450,17031020802
473,17031020901
458,17031020902
445,17031030101
582,17031030102
560,17031030103
492,17031030104
492,17031030200
560,17031030300
130,17031030400
262,17031030500
262,17031030601
262,17031030603
434,17031030604
473,17031030701
56,17031030702
56,17031030703
458,17031030706
450,17031030800
450,17031030900
450,17031031000
450,17031031100
434,17031031200
408,17031031300
441,17031031400
257,17031031501
365,17031031502
262,17031031700
262,17031031800
262,17031031900
262,17031032100
473,17031040100
130,17031040201
56,17031040202
560,17031040300
560,17031040401
450,17031040402
458,17031040600
434,17031040700
252,17031040800
252,17031040900
855,17031050100
295,17031050200
332,17031050300
223,17031050500
223,17031050600
223,17031050700
332,17031050800
223,17031050900
223,17031051000
823,17031051100
823,17031051200
823,17031051300
823,17031051400
534,17031060100
651,17031060200
534,17031060300
534,17031060400
480,17031060500
486,17031060800
486,17031060900
486,17031061000
486,17031061100
486,17031061200
252,17031061500
626,17031061800
626,17031061901
626,17031061902
480,17031062000
303,17031062100
375,17031062200
223,17031062300
223,17031062400
223,17031062500
223,17031062600
223,17031062700
223,17031062800
434,17031062900
434,17031063000
434,17031063100
465,17031063200
480,17031063301
480,17031063302
486,17031063303
486,17031063400
303,17031070101
303,17031070102
408,17031070103
480,17031070200
626,17031070300
626,17031070400
252,17031070500
252,17031070600
116,17031070700
626,17031071000
626,17031071100
130,17031071200
442,17031071300
445,17031071400
130,17031071500
626,17031071600
626,17031071700
223,17031071800
223,17031080100
223,17031080201
128,17031080202
855,17031080300
130,17031080400
855,17031081000
375,17031081100
851,17031081201
335,17031081202
335,17031081300
480,17031081401
823,17031081402
335,17031081403
335,17031081500
335,17031081600
141,17031081700
143,17031081800
143,17031081900
335,17031090100
335,17031090200
141,17031090300
141,17031100100
859,17031100200
332,17031100300
332,17031100400
859,17031100500
859,17031100600
859,17031100700
859,17031110100
859,17031110200
295,17031110300
841,17031110400
841,17031110501
841,17031110502
295,17031120100
295,17031120200
339,17031120300
335,17031120400
223,17031130100
223,17031130200
223,17031130300
855,17031140100
855,17031140200
332,17031140301
855,17031140302
855,17031140400
332,17031140500
514,17031140601
626,17031140602
116,17031140701
116,17031140702
177,17031140800
626,17031150200
116,17031150300
116,17031150401
116,17031150402
626,17031150501
823,17031150502
823,17031150600
617,17031150700
869,17031150800
869,17031151001
869,17031151002
869,17031151100
332,17031151200
332,17031160100
332,17031160200
332,17031160300
332,17031160400
332,17031160501
514,17031160502
514,17031160601
802,17031160602
802,17031160700
604,17031160800
802,17031160900
862,17031161000
252,17031161100
445,17031161200
655,17031161300
130,17031170100
407,17031170200
434,17031170300
434,17031170400
434,17031170500
560,17031170600
408,17031170700
862,17031170800
408,17031170900
252,17031171000
434,17031171100
434,17031180100
582,17031190100
841,17031190200
332,17031190300
434,17031190401
295,17031190402
223,17031190601
420,17031190602
638,17031190701
226,17031190702
227,17031190800
435,17031190900
407,17031191000
230,17031191100
329,17031191200
491,17031191301
233,17031191302
445,17031200100
235,17031200200
442,17031200300
227,17031200401
227,17031200402
442,17031210100
442,17031210400
458,17031210501
245,17031210502
823,17031210601
245,17031210602
245,17031210700
823,17031210800
441,17031210900
434,17031220300
434,17031220400
56,17031220500
514,17031220601
252,17031220602
252,17031220701
378,17031220702
638,17031220901
638,17031220902
257,17031221000
258,17031221100
258,17031221200
492,17031221300
556,17031221400
262,17031221500
116,17031221600
116,17031222200
56,17031222500
473,17031222600
509,17031222700
141,17031222800
496,17031222900
445,17031230100
