id,count
106,73
786,86
224,236
686,101
340,102
630,103
177,106
622,109
648,109
736,111
765,113
844,118
90,118
820,119
782,258
715,119
73,121
836,121
288,123
707,125
592,125
399,125
107,126
772,126
158,126
338,126
63,128
255,129
71,130
634,131
742,131
365,132
135,132
770,274
408,135
616,136
275,136
706,137
174,137
650,276
85,138
524,139
147,139
821,140
805,140
379,141
313,142
657,143
791,143
676,144
82,144
486,145
726,145
655,145
819,145
67,145
380,145
608,146
38,146
497,146
25,146
719,147
170,148
272,149
176,149
86,150
779,150
499,150
654,150
415,151
703,152
260,152
388,152
42,152
124,152
285,153
284,154
205,154
483,154
746,155
75,156
336,156
191,156
523,156
696,156
642,157
105,158
283,158
457,158
860,159
136,159
129,161
625,161
617,162
793,163
87,163
774,164
771,164
292,164
573,165
555,165
341,165
688,166
474,166
806,167
137,167
597,167
164,168
41,168
790,168
462,168
460,169
574,169
163,169
289,169
214,170
215,170
88,170
127,170
179,171
646,171
351,172
647,172
139,173
371,173
293,173
244,174
70,175
639,175
433,176
656,176
370,177
353,177
140,178
219,178
263,178
730,179
143,179
752,180
300,180
156,182
629,182
118,183
640,184
384,186
835,186
60,186
91,186
684,187
354,187
246,187
316,188
190,190
624,190
146,191
724,191
23,192
643,192
599,192
297,192
59,192
777,193
615,194
585,195
115,195
533,196
741,196
747,197
450,197
467,198
472,198
795,198
161,198
802,199
335,200
43,201
245,201
430,203
649,204
367,205
613,205
480,207
44,207
355,208
274,209
492,210
339,210
698,211
372,211
509,212
734,213
797,215
68,215
225,215
125,215
192,215
134,216
290,217
160,217
258,218
773,219
264,219
828,220
21,221
243,221
324,223
181,226
602,227
123,227
406,229
596,230
65,230
681,231
319,232
113,234
674,236
138,236
276,236
520,239
184,239
626,241
267,241
196,242
271,243
186,243
89,248
256,249
473,250
157,250
165,255
687,256
831,256
711,256
459,257
162,261
641,262
312,265
332,267
712,281
451,283
697,287
453,298
454,305
342,322
195,327
829,340
169,364
579,379
572,382
167,391
