GEOID,owner
17031120300,peaceful
17031120400,peaceful
17031130100,peaceful
17031130200,peaceful
17031130300,peaceful
17031140100,peaceful
17031140200,black p stones
17031140301,peaceful
17031140302,peaceful
17031140400,peaceful
17031140500,peaceful
17031140601,peaceful
17031140602,peaceful
17031140701,peaceful
17031140702,peaceful
17031140800,vice lords
17031150200,peaceful
17031150300,peaceful
17031150401,peaceful
17031150402,peaceful
17031150501,peaceful
17031150502,peaceful
17031150600,peaceful
17031150700,peaceful
17031150800,peaceful
17031151001,peaceful
17031151002,peaceful
17031151100,peaceful
17031151200,peaceful
17031160100,peaceful
17031160200,peaceful
17031160300,peaceful
17031160400,peaceful
17031160501,vice lords
17031160502,peaceful
17031160601,peaceful
17031160602,peaceful
17031160700,peaceful
17031160800,peaceful
17031160900,peaceful
17031161000,peaceful
17031161100,peaceful
17031161200,peaceful
17031161300,peaceful
17031170100,peaceful
17031170200,peaceful
17031170300,peaceful
17031170400,peaceful
17031170500,peaceful
17031170600,peaceful
17031170700,peaceful
17031170800,peaceful
17031170900,peaceful
17031171000,peaceful
17031171100,peaceful
17031180100,peaceful
17031190100,gangster disciples
17031190200,peaceful
17031190300,vice lords
17031190401,peaceful
17031190402,peaceful
17031190601,gangster disciples
17031190602,peaceful
17031190701,peaceful
17031190702,peaceful
17031190800,peaceful
17031190900,peaceful
17031191000,peaceful
17031191100,gangster disciples
17031191200,gangster disciples
17031191301,gangster disciples
17031191302,gangster disciples
17031200100,peaceful
17031200200,black p stones
17031200300,black p stones
17031200401,gangster disciples
17031200402,black p stones
17031210100,peaceful
17031210400,peaceful
17031210501,gangster disciples
17031210502,black p stones
17031210601,peaceful
17031210602,gangster disciples
17031210700,peaceful
17031210800,peaceful
17031210900,peaceful
17031220300,peaceful
17031220400,peaceful
17031220500,peaceful
17031220601,peaceful
17031220602,peaceful
17031220701,peaceful
17031220702,gangster disciples
17031220901,gangster disciples
17031220902,peaceful
17031221000,peaceful
17031221100,peaceful
17031221200,peaceful
17031221300,peaceful
17031221400,peaceful
17031221500,gangster disciples
17031221600,peaceful
17031222200,peaceful
17031222500,peaceful
17031222600,peaceful
17031222700,peaceful
17031222800,peaceful
17031222900,peaceful
17031230100,peaceful
17031230200,peaceful
17031230300,peaceful
17031230400,gangster disciples
17031230500,gangster disciples
17031230600,black p stones
17031230700,black p stones
17031230800,peaceful
17031230900,vice lords
17031231100,gangster disciples
17031231200,black p stones
17031231500,vice lords
17031240200,peaceful
17031240300,peaceful
17031240500,peaceful
17031240600,peaceful
17031240700,peaceful
17031240800,peaceful
17031240900,vice lords
17031241000,gangster disciples
17031241100,gangster disciples
17031241200,peaceful
17031241300,peaceful
17031241400,gangster disciples
17031241500,peaceful
17031241600,peaceful
17031242000,black p stones
17031242100,peaceful
17031242200,peaceful
17031242300,peaceful
17031242400,peaceful
17031242500,black p stones
17031242600,black p stones
17031242700,gangster disciples
17031242800,vice lords
17031242900,peaceful
17031243000,peaceful
17031243100,peaceful
17031243200,peaceful
17031243300,peaceful
17031243400,peaceful
17031243500,peaceful
17031250200,vice lords
17031250300,vice lords
17031250400,vice lords
17031250500,peaceful
17031250600,vice lords
17031250700,vice lords
17031250800,gangster disciples
17031251000,gangster disciples
17031251100,vice lords
17031251200,vice lords
17031251300,vice lords
17031251400,gangster disciples
17031251500,vice lords
17031251600,vice lords
17031251700,vice lords
17031251800,vice lords
17031251900,vice lords
17031252000,vice lords
17031252101,vice lords
17031252102,vice lords
17031252201,vice lords
17031252202,vice lords
17031260100,peaceful
17031260200,gangster disciples
17031260300,gangster disciples
17031260400,vice lords
17031260500,vice lords
17031260600,black p stones
17031260700,gangster disciples
17031260800,vice lords
17031260900,vice lords
17031261000,black p stones
17031270500,vice lords
17031271200,vice lords
17031271300,black p stones
17031271400,vice lords
17031271500,vice lords
17031271800,vice lords
17031280100,peaceful
17031280400,peaceful
17031280800,black p stones
17031280900,vice lords
17031281900,peaceful
17031282700,gangster disciples
17031282800,peaceful
17031283100,peaceful
17031283200,peaceful
17031283800,gangster disciples
17031290900,vice lords
17031291200,vice lords
17031291600,peaceful
17031292200,vice lords
17031292400,vice lords
17031292500,vice lords
17031300500,black p stones
17031300600,peaceful
17031300700,gangster disciples
17031300800,vice lords
17031300900,vice lords
17031301100,vice lords
17031301200,gangster disciples
17031301600,gangster disciples
17031301701,vice lords
17031301702,black p stones
17031301801,gangster disciples
17031301802,gangster disciples
17031301803,vice lords
17031310200,peaceful
17031310300,gangster disciples
17031310400,peaceful
17031310500,gangster disciples
17031310600,gangster disciples
17031310700,vice lords
17031310800,vice lords
17031310900,gangster disciples
17031320100,peaceful
17031320400,peaceful
17031320600,peaceful
17031330100,peaceful
17031330200,peaceful
17031340300,peaceful
17031340400,peaceful
17031340500,peaceful
17031340600,peaceful
17031350100,peaceful
17031350400,gangster disciples
17031351000,peaceful
17031351100,gangster disciples
17031351400,gangster disciples
17031351500,peaceful
17031360200,gangster disciples
17031380100,gangster disciples
17031380200,peaceful
17031380500,peaceful
17031380700,peaceful
17031381200,gangster disciples
17031381400,black p stones
17031381500,peaceful
17031381700,peaceful
17031381800,peaceful
17031381900,peaceful
17031390100,peaceful
17031390200,peaceful
17031390300,vice lords
17031390400,peaceful
17031390500,peaceful
17031390600,peaceful
17031390700,peaceful
17031400300,gangster disciples
17031400400,gangster disciples
17031400500,vice lords
17031400800,gangster disciples
17031410100,peaceful
17031410200,peaceful
17031410500,peaceful
17031410600,peaceful
17031410700,peaceful
17031410800,peaceful
17031410900,peaceful
17031411000,peaceful
17031411100,peaceful
17031411200,peaceful
17031420100,peaceful
17031420200,gangster disciples
17031420300,peaceful
17031420400,black p stones
17031420500,black p stones
17031420600,gangster disciples
17031420700,gangster disciples
17031420800,gangster disciples
17031421200,black p stones
17031430101,vice lords
17031430102,peaceful
17031430200,vice lords
17031430300,black p stones
17031430400,vice lords
17031430500,gangster disciples
17031430600,peaceful
17031430700,black p stones
17031430800,gangster disciples
17031430900,gangster disciples
17031431200,black p stones
17031431301,black p stones
17031431302,black p stones
17031431400,gangster disciples
17031440101,gangster disciples
17031440102,gangster disciples
17031440201,gangster disciples
17031440202,peaceful
17031440300,vice lords
17031440600,gangster disciples
17031440700,gangster disciples
17031440800,gangster disciples
17031440900,gangster disciples
17031450300,gangster disciples
17031460100,gangster disciples
17031460200,gangster disciples
17031460301,black p stones
17031460302,black p stones
17031460400,black p stones
17031460500,gangster disciples
17031460600,gangster disciples
17031460700,black p stones
17031461000,peaceful
17031470100,gangster disciples
17031480100,peaceful
17031480200,peaceful
17031480300,gangster disciples
17031480400,black p stones
17031480500,gangster disciples
17031490300,gangster disciples
17031490400,peaceful
17031490500,gangster disciples
17031490600,vice lords
17031490700,vice lords
17031490800,vice lords
17031490901,gangster disciples
17031490902,gangster disciples
17031491000,gangster disciples
17031491100,black p stones
17031491200,gangster disciples
17031491300,vice lords
17031491400,gangster disciples
17031500100,gangster disciples
17031500200,black p stones
17031500300,peaceful
17031510100,peaceful
17031510200,peaceful
17031510300,gangster disciples
17031520100,peaceful
17031520200,vice lords
17031520300,gangster disciples
17031520400,peaceful
17031520500,peaceful
17031520600,peaceful
17031530100,gangster disciples
17031530200,black p stones
17031530300,gangster disciples
17031530400,peaceful
17031530501,black p stones
17031530502,gangster disciples
17031530503,vice lords
17031530600,vice lords
17031540101,black p stones
17031540102,gangster disciples
17031550100,peaceful
17031550200,peaceful
17031560100,peaceful
17031560200,black p stones
17031560300,peaceful
17031560400,peaceful
17031560700,peaceful
17031560800,peaceful
17031560900,peaceful
17031561000,peaceful
17031561100,peaceful
17031570100,peaceful
17031570200,peaceful
17031570300,gangster disciples
17031570400,peaceful
17031570500,peaceful
17031580100,peaceful
17031580200,gangster disciples
17031580300,peaceful
17031580400,black p stones
17031580501,vice lords
17031580502,gangster disciples
17031580600,black p stones
17031580700,black p stones
17031580800,peaceful
17031590500,peaceful
17031590600,gangster disciples
17031590700,peaceful
17031600400,peaceful
17031600600,peaceful
17031600700,peaceful
17031600900,gangster disciples
17031610300,vice lords
17031610400,gangster disciples
17031610800,peaceful
17031611000,gangster disciples
17031611100,black p stones
17031611200,black p stones
17031611300,gangster disciples
17031611400,gangster disciples
17031611500,gangster disciples
17031611600,gangster disciples
17031611700,gangster disciples
17031611800,gangster disciples
17031611900,gangster disciples
17031612000,gangster disciples
17031612100,vice lords
17031620100,peaceful
17031620200,peaceful
17031620300,peaceful
