GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170312421001,326,0,17,9,9,0,9,0,16,0,48,8,43,40,23,67,37,64233,11.070272376307287
170312421002,656,9,16,0,9,28,8,18,0,28,53,43,139,82,33,55,135,55872,10.930818639199273
170312421003,697,9,30,0,0,7,10,8,47,17,8,48,74,74,88,151,126,74151,11.213858833651809
170312422001,771,7,74,0,16,14,7,8,56,9,44,54,126,64,76,76,140,50009,10.819958268212227
170312422002,890,9,40,18,19,13,10,33,56,54,76,79,91,64,55,135,138,67715,11.123063000089472
170312423001,697,6,9,8,26,0,26,11,53,7,84,143,87,78,48,5,106,56390,10.940047116801228
170312423002,902,87,7,0,8,35,13,15,9,17,118,115,106,170,19,29,154,60191,11.005278118459296
170312424001,567,10,28,10,32,8,0,17,25,56,33,40,155,18,38,53,44,49635,10.812451509023822
170312424002,837,60,22,34,79,37,40,22,29,43,45,109,91,77,56,46,47,38337,10.554170766276814
170312425001,867,133,90,7,43,56,6,26,31,61,89,16,105,85,42,62,15,27967,10.23878052266729
170312425002,723,7,7,52,37,55,29,40,13,0,64,84,96,141,19,23,56,34798,10.45731519284666
170312426001,535,39,75,14,90,77,22,0,0,58,14,45,13,66,0,8,14,18292,9.814219084777946
170312426002,752,39,54,0,38,55,52,14,29,27,68,45,176,33,10,73,39,35798,10.485647304906445
170312426003,633,0,54,0,13,24,41,0,81,10,32,132,42,85,14,73,32,38266,10.552317052444948
170312426004,513,31,35,0,14,46,44,39,47,0,36,25,45,0,92,35,24,29857,10.304174597191192
170312427001,689,112,94,70,54,26,23,6,34,34,35,56,29,34,29,40,13,25172,10.133487544646824
170312428001,592,25,61,27,52,18,7,0,15,35,28,60,51,48,53,51,61,42040,10.646376824990888
170312429001,500,35,18,4,14,8,30,8,26,4,66,46,64,61,14,37,65,51428,10.847938050204139
170312429002,305,17,9,0,29,32,0,3,34,0,11,38,45,32,27,16,12,39012,10.571624570091906
170312430001,375,0,0,36,0,13,0,0,43,59,53,58,73,7,14,11,8,37521,10.532656055217016
170312430002,660,0,0,38,25,4,0,38,12,69,56,128,117,36,47,33,57,42474,10.656647403002244
170312431001,608,30,32,17,20,26,33,0,11,4,0,46,84,122,21,52,110,42873,10.665997536149904
170312431002,271,27,5,0,23,5,7,0,25,38,0,6,24,30,21,24,36,47446,10.76734750122231
170312432001,488,36,0,12,0,6,5,0,28,0,36,31,84,28,6,92,124,64911,11.080772379855539
170312432002,393,6,8,19,0,0,4,4,0,24,29,46,47,42,24,58,82,48407,10.78739971034626
170312433001,490,0,21,17,25,0,23,0,8,44,43,62,83,61,52,8,43,56238,10.93734796397454
170312433002,670,23,10,8,21,24,10,37,45,36,42,78,111,55,54,45,71,46769,10.752975869264068
170312434001,531,41,22,17,27,46,42,19,15,57,16,77,71,8,8,23,42,32081,10.376019233564437
170312434002,185,9,0,0,8,0,35,10,13,0,0,0,35,33,7,17,18,45755,10.731056354349478
170312434003,579,0,0,18,23,0,9,0,8,15,19,62,125,80,46,110,64,66728,11.108379933921448
170312435001,581,88,24,55,31,10,6,35,8,14,11,64,70,35,31,35,64,40050,10.597883952496506
170312435002,1108,15,0,4,0,28,22,27,0,27,129,73,146,154,98,124,261,82237,11.31736060142441
170312502001,391,11,51,20,44,14,26,32,26,16,43,33,14,41,6,14,0,13535,9.513034202048402
170312502002,390,51,20,21,26,61,17,21,18,16,25,33,40,25,5,0,11,16715,9.7240617988542
170312503001,578,26,20,78,56,32,70,23,18,36,45,44,56,26,7,33,8,15283,9.634496378527837
170312503002,329,42,42,25,8,24,19,21,31,19,36,18,0,25,19,0,0,15226,9.630759771866158
170312503003,393,99,34,35,17,37,36,27,25,41,17,0,16,0,9,0,0,12733,9.451952327573435
170312503004,266,32,36,22,22,41,29,0,25,0,7,0,52,0,0,0,0,13191,9.48729005784892
170312504001,187,25,55,57,5,0,13,0,0,0,32,0,0,0,0,0,0,13190,9.48721424571136
170312504002,390,31,74,0,66,13,63,0,28,19,48,0,48,0,0,0,0,12572,9.439227397917458
170312504003,303,94,16,0,30,25,8,0,0,42,0,46,42,0,0,0,0,13822,9.53401680465134
170312504004,481,15,55,32,38,0,0,15,0,115,61,50,34,0,66,0,0,21418,9.97198696896082
170312504005,505,49,0,62,0,13,126,17,0,16,66,65,55,0,36,0,0,18975,9.85087760226383
170312505001,503,0,32,0,0,53,0,0,0,0,16,44,131,170,25,23,9,24322,10.099136569540946
170310502003,782,25,12,52,68,30,12,71,55,22,12,61,73,77,20,37,155,54833,10.912047481473621
170310503001,385,33,5,7,0,22,18,28,8,7,0,11,89,71,12,56,18,40060,10.59813360921981
170310503002,341,0,11,0,0,7,14,0,37,23,27,46,16,55,24,27,54,43539,10.681412367138472
170310503003,381,6,7,9,21,0,13,0,16,31,55,41,55,36,0,64,27,50294,10.825641064678658
170310505001,454,10,0,15,0,0,0,0,14,0,0,34,48,0,151,26,156,72576,11.19238956764737
170310505002,629,0,0,0,13,16,17,0,15,0,16,61,176,46,61,45,163,63768,11.063006776107759
170310505003,361,51,0,18,17,0,0,0,0,0,44,15,32,64,33,41,46,57384,10.95752079780627
170310505004,484,0,0,11,0,0,49,14,0,46,15,34,64,32,33,79,107,51801,10.85516473308054
170310505005,303,0,0,0,14,0,0,0,42,0,43,25,86,0,0,31,62,48053,10.780059847413037
170310506001,615,9,21,0,26,9,0,0,9,20,54,56,130,84,16,73,108,70263,11.16000062345651
170310506002,454,12,8,0,7,0,8,21,35,26,19,23,59,61,48,43,84,61553,11.02765387128589
170310507001,694,23,0,6,5,6,28,5,16,0,41,99,80,68,82,95,140,66420,11.103753494930737
170310508001,574,10,14,0,4,26,0,0,4,48,37,46,72,68,48,66,131,61516,11.027052582559815
170310509001,592,21,4,23,4,15,0,18,35,9,63,95,43,82,57,28,95,47588,10.770335907596417
170310510001,730,47,6,0,13,15,5,27,5,3,46,66,116,90,26,100,165,59421,10.992402978225373
