GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031230500,1016,212,176,109,105,30,63,39,50,51,34,33,78,0,36,0,0,11032,9.308555419473137,3019,3019,479,2362,0.1586618085458761,0.7823782709506459
17031230600,1948,230,61,153,224,204,173,66,72,57,76,281,137,95,75,30,14,16481,9.70996348123418,6778,6778,1629,5066,0.24033638241369135,0.7474181174387725
17031230700,1794,311,114,140,210,116,98,75,147,131,89,91,115,93,19,45,0,12139,9.404178688897805,6403,6403,1430,5036,0.22333281274402625,0.7865063251600812
17031230800,397,37,0,55,13,25,40,9,48,32,42,0,43,12,28,13,0,12902,9.465137617092187,1751,1751,0,1694,0,0.9674471730439749
17031230900,1807,280,284,66,89,114,179,26,92,95,93,151,213,48,15,53,9,14322,9.569552095566886,5920,5920,1115,3968,0.1883445945945946,0.6702702702702703
17031231100,420,132,0,28,87,25,11,14,11,0,33,48,31,0,0,0,0,11149,9.319105086767571,1230,1230,1002,52,0.8146341463414634,0.04227642276422764
17031231200,2037,504,231,128,155,64,124,124,172,110,29,140,133,68,17,0,38,11598,9.358587948436385,6820,6820,5416,1288,0.7941348973607039,0.18885630498533723
17031231500,1955,377,252,283,330,95,84,104,99,56,90,67,25,37,0,32,24,11932,9.386979145634639,5624,5624,5380,82,0.9566145092460882,0.014580369843527738
17031240200,876,60,155,12,14,28,0,46,48,23,35,25,102,125,40,48,115,55510,10.924318463684207,1661,1661,21,391,0.012642986152919929,0.2354003612281758
17031240300,682,10,25,0,10,0,11,8,43,12,72,83,121,47,44,104,92,85315,11.354105567961366,1221,1221,20,188,0.01638001638001638,0.15397215397215397
17031240500,1107,32,14,0,11,21,52,29,21,28,67,113,101,130,76,242,170,66475,11.104581216111221,2162,2162,139,110,0.06429232192414432,0.05087881591119334
17031240600,533,70,34,0,17,0,0,12,0,10,39,62,89,55,76,20,49,34945,10.461530675911229,1398,1398,80,687,0.05722460658082976,0.49141630901287553
17031240700,549,33,9,42,24,23,44,52,61,34,52,50,27,52,0,8,38,22607,10.02601487181582,1737,1737,63,1163,0.03626943005181347,0.669545192861255
17031240800,697,104,38,45,75,51,90,29,35,37,41,35,10,77,20,10,0,16251,9.69590972432601,1963,1963,266,1236,0.13550687722873153,0.6296484971981661
17031240900,412,45,79,48,0,10,32,9,38,0,29,49,18,0,27,28,0,16890,9.734477009801846,1332,1332,257,752,0.19294294294294295,0.5645645645645646
17031241000,789,259,50,60,49,11,75,18,25,13,48,26,23,24,84,24,0,14436,9.577480365762678,2607,2607,1030,1383,0.39509014192558495,0.5304948216340621
17031241100,1591,148,65,93,118,11,143,57,71,66,268,163,168,58,68,47,47,23311,10.056680631152522,4352,4352,899,2188,0.2065716911764706,0.5027573529411765
17031241200,812,91,78,44,21,27,31,25,0,18,43,82,71,44,151,69,17,35895,10.488353289010583,1847,1847,161,629,0.08716838115863562,0.34055224688684355
17031241300,771,119,25,7,57,14,0,9,27,23,30,33,119,85,53,83,87,43844,10.688393158335614,1817,1817,433,107,0.23830489818381947,0.05888827738029719
