GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170318068013,404,0,33,8,19,33,11,38,5,19,20,42,66,34,53,0,23,26907,10.200141754786113
170318068014,210,9,8,0,27,0,41,0,23,8,17,0,28,29,20,0,0,22226,10.009018053745592
170318068021,271,0,8,0,0,0,0,45,0,37,36,0,40,20,0,0,85,55761,10.928829979276463
170318068022,427,21,0,9,33,8,36,0,66,22,28,40,98,9,29,0,28,24418,10.103075844228801
170318068023,378,0,15,27,0,23,22,8,22,0,36,51,56,20,13,27,58,39728,10.589811507747948
170318069001,280,0,0,10,20,8,47,10,33,10,54,22,28,24,0,10,4,18283,9.813726945328504
170318069002,1041,154,121,54,71,62,18,24,50,70,84,101,87,11,48,76,10,27984,10.239388197258384
170318069003,530,44,10,0,28,24,20,44,24,6,23,16,81,83,31,62,34,31526,10.358567881186488
170318070001,1355,158,53,83,26,46,59,62,26,37,36,249,247,136,93,44,0,20804,9.942900554892963
170318070002,390,32,0,9,37,0,119,8,0,0,13,78,55,13,13,13,0,23080,10.046721720622037
170318070003,346,9,0,0,0,0,10,0,0,13,19,73,76,72,48,26,0,34890,10.45995553418082
170318071001,225,0,5,7,0,19,0,0,9,9,32,0,33,44,14,31,22,44709,10.707930102616903
170318071002,204,0,0,19,0,0,30,0,0,16,6,18,17,64,22,0,12,30491,10.32518683708304
170318071003,551,37,15,0,10,0,9,0,14,0,17,50,80,43,68,58,150,43450,10.679366130693538
170318071004,284,0,0,0,16,0,0,0,0,0,9,23,17,88,37,23,71,76941,11.250794173362452
170318072001,313,15,0,0,55,0,21,0,100,0,0,34,34,41,13,0,0,18460,9.823361508056843
170318072002,450,0,0,48,48,47,12,0,0,43,26,11,69,47,46,7,46,29496,10.29200993991398
170318072003,348,14,0,0,24,0,14,70,0,0,0,29,45,34,66,42,10,27730,10.230270138609823
170318072004,249,0,0,11,0,0,0,16,30,11,13,13,73,43,39,0,0,29298,10.285274533289716
