GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population
17031030800,2172,100,52,57,44,133,62,55,15,117,196,228,328,164,96,216,309,59470,10.993227262700639,4481
17031030900,1462,72,15,39,63,59,119,81,118,56,75,223,228,93,122,50,49,32366,10.38486376807683,3354
17031031000,1867,142,33,69,59,79,200,69,169,64,238,172,210,124,44,118,77,27407,10.218553734200675,4847
17031031100,2123,167,126,144,156,102,80,70,47,137,198,228,323,144,41,40,120,33875,10.430432558182002,4153
17031031200,3040,984,323,296,315,167,104,67,26,110,27,126,219,56,97,76,47,17550,9.772809228894012,6572
17031031300,3652,592,239,371,155,338,235,59,243,103,266,321,92,390,68,123,57,27991,10.239638308916676,6940
17031031400,3757,220,149,187,96,120,101,156,136,127,461,305,497,345,201,385,271,61571,11.027946259449502,5542
17031031700,3767,596,252,388,164,120,0,236,180,158,224,314,350,205,235,188,157,34317,10.443396137193783,7211
17031031800,1078,85,118,47,11,66,0,11,57,41,34,136,163,111,17,81,100,45515,10.72579722093939,2016
17031031900,1353,140,77,24,0,61,38,118,47,50,158,62,241,102,65,20,150,46758,10.752740643071617,2620
17031032100,4281,618,300,314,267,90,238,214,224,123,217,353,586,286,191,181,79,36480,10.504519444188269,7116
17031040100,1809,81,59,38,60,67,101,118,71,29,155,127,227,315,166,122,73,36761,10.51219277958166,4569
17031040300,1126,9,45,44,78,91,117,84,68,51,53,95,89,106,68,72,56,27671,10.228140212351999,3048
17031040600,1300,45,39,41,153,43,40,33,51,33,172,104,182,95,107,68,94,38626,10.561680903832544,2694
17031040700,1682,190,35,153,87,79,103,48,81,0,156,101,263,145,89,101,51,35178,10.46817616619227,3379
17031040800,741,23,10,15,43,34,90,28,18,57,38,105,122,67,50,32,9,31967,10.37245939967773,1664
17031040900,1086,100,18,99,40,31,50,93,30,104,37,154,90,64,54,35,87,42789,10.664036339191531,1928
17031050100,1183,49,7,62,73,37,141,63,38,62,71,74,199,84,49,35,139,47050,10.758966145013526,2396
17031050200,2323,159,66,95,135,221,60,60,91,61,152,242,328,109,167,137,240,43100,10.671278276091838,4968
17031050300,1146,0,56,0,22,30,65,25,27,32,186,101,159,91,157,117,78,46008,10.73657057339359,2571
17031050500,2384,73,48,48,82,32,102,30,133,148,139,205,351,273,146,250,324,48537,10.790081672673447,5473
17031050600,965,25,18,17,0,44,6,37,58,30,85,66,79,238,54,124,84,50640,10.832497056818058,2090
17031050700,822,10,19,7,34,0,17,18,7,21,78,108,130,57,91,127,98,53272,10.883166143790458,2033
17031050800,517,5,66,21,7,0,0,16,5,20,44,38,60,53,19,59,104,69730,11.152385920215057,1362
17031050900,725,42,28,19,26,0,24,23,55,5,47,63,103,97,12,90,91,64427,11.073288078888153,1421
17031051000,624,16,16,14,24,0,33,11,11,31,80,24,171,76,37,9,71,52899,10.876139714076032,1350
17031051100,703,10,0,36,0,26,18,25,19,54,22,88,90,61,38,76,140,51828,10.855685822748702,1594
17031051200,837,26,9,0,0,35,76,88,17,23,64,87,65,32,83,103,129,58208,10.971778081317849,2077
17031051300,1246,9,19,19,9,11,11,48,20,41,41,113,121,87,191,213,293,69219,11.145030670393274,2815
17031051400,950,77,41,20,8,28,36,0,69,45,64,106,110,40,82,66,158,51477,10.84889038495373,2267
17031060100,1386,0,29,10,10,11,59,25,29,29,225,149,237,160,107,98,208,56757,10.946534275754528,3062
17031060200,1122,72,13,60,67,37,35,39,99,51,94,106,194,107,56,55,37,42235,10.651004540161598,2069
17031060300,1389,25,0,23,15,13,19,49,22,32,131,134,147,243,160,66,310,60676,11.013303511711563,3257
17031060400,1474,44,14,8,19,29,50,49,18,16,92,70,257,250,47,195,316,60723,11.014077817963646,3803
17031060500,767,156,132,45,30,15,0,0,0,6,43,0,102,47,67,33,91,69700,11.151955596748616,1252
17031060800,3434,248,97,32,175,272,50,298,200,75,225,592,583,334,104,56,93,47128,10.760622583201524,5106
17031060900,4874,391,132,268,225,185,277,239,319,260,560,472,505,364,184,276,217,52704,10.872446632977367,6584
17031061000,938,14,9,36,15,30,43,55,69,24,132,32,116,80,16,47,220,76695,11.24759179618221,1667
17031061100,615,8,11,8,17,63,27,12,12,0,41,63,180,78,11,38,46,42084,10.647422899928179,1356
17031061200,925,16,0,12,28,18,17,19,48,10,28,155,166,94,64,99,151,68033,11.127748160558784,2024
17031061500,903,0,0,29,28,47,16,35,11,8,75,113,172,94,70,108,97,60525,11.01081178180626,2032
17031061800,693,54,6,39,97,25,23,68,47,26,52,86,53,57,16,44,0,44787,10.709673197721699,855
17031062000,1518,64,30,71,10,51,88,42,41,134,56,108,287,223,110,78,125,59001,10.985309671896763,2566
17031062100,1767,156,85,98,111,53,51,58,64,11,103,161,271,123,22,190,210,49460,10.808919541075408,3332
17031062200,1491,48,0,17,25,27,38,45,24,0,134,134,141,258,127,268,205,71127,11.172222290541194,2987
17031062300,797,10,0,15,0,0,26,0,30,12,44,143,116,85,93,71,152,73134,11.200048653883892,1749
17031062400,730,29,31,0,25,0,11,0,0,41,16,113,101,62,59,54,188,80235,11.29271510763346,1769
17031062500,711,30,0,0,13,26,11,25,34,39,37,103,61,92,70,34,136,54927,10.913760309880715,1728
17031062600,972,23,26,0,11,46,37,21,48,89,63,96,116,35,22,109,230,70515,11.163580732126341,2131
17031062700,1263,92,63,42,19,88,9,10,28,17,96,65,111,76,97,161,289,66498,11.104927151003707,2705
17031062800,1600,105,27,21,33,12,55,63,0,17,164,172,119,144,179,88,401,72340,11.18913250550609,3514
17031062900,2041,75,42,49,0,56,19,0,61,89,126,175,234,225,268,249,373,70723,11.166526117226267,4114
17031063000,1979,153,95,56,52,107,70,59,49,178,75,118,196,193,144,156,278,64722,11.077856453603484,3963
17031063100,1492,125,30,145,48,34,0,33,90,155,130,159,139,182,91,35,96,49238,10.80442096208924,2330
17031063200,4178,309,145,212,130,112,166,344,274,150,367,347,579,262,235,253,293,51464,10.848637813090836,6587
17031063400,1213,133,30,21,14,62,73,44,36,88,43,53,135,129,52,91,209,76245,11.241707118549112,2049
17031070200,2203,155,85,20,103,54,121,94,38,10,187,286,261,158,245,160,226,55979,10.932731899387203,3989
17031070300,1542,134,21,58,25,19,17,28,8,8,110,233,148,257,151,112,213,58941,10.984292222554274,3458
17031070400,1670,164,71,57,82,28,10,54,15,71,39,81,129,95,123,206,445,80729,11.298853145343433,3435
17031070500,1241,79,17,39,15,38,49,7,78,0,35,75,170,64,46,136,393,67437,11.11894910770053,3382
17031070600,1294,11,55,13,8,0,43,11,13,14,86,90,140,152,34,132,492,99788,11.510803214589128,3053
17031070700,1293,215,0,62,20,24,33,83,39,33,37,72,61,123,131,162,198,59851,10.999613419284296,2677
17031071000,1175,87,25,8,0,9,20,32,21,14,20,70,141,162,130,89,347,34201,10.440010162389305,6318
17031071100,1222,157,7,23,6,25,42,9,38,30,85,231,31,56,55,130,297,72979,11.197927007512344,3024
17031071200,1110,67,69,23,13,13,17,23,0,45,42,213,195,65,103,49,173,87198,11.375936673854225,2130
17031071300,2208,226,102,94,49,17,13,30,58,33,211,130,198,322,123,103,499,85397,11.35506625035401,3964
17031071400,2993,161,116,78,28,49,120,156,169,243,199,205,310,359,108,285,407,73112,11.199747790952038,5128
17031071500,3737,210,63,164,49,99,140,69,72,129,351,442,516,370,213,356,494,84353,11.342765653435313,5408
17031071600,868,54,50,16,0,0,45,0,0,0,25,32,71,82,72,81,340,77120,11.253117929284427,2160
17031071700,849,28,0,0,0,0,38,7,0,62,59,62,66,98,60,109,260,87266,11.376716204341243,1853
17031071800,1293,65,75,22,41,6,101,24,19,13,48,12,145,135,130,143,314,82471,11.320201995375324,3134
17031080100,4170,343,86,55,55,92,154,151,154,178,238,429,503,254,183,326,969,122584,11.716551788258013,6181
17031080300,2879,225,96,54,65,25,35,27,41,114,178,315,483,212,204,297,508,89830,11.405674274223252,4639
17031080400,2051,444,424,56,41,73,82,40,34,14,92,151,157,75,166,60,142,27105,10.207473491694438,4981
17031081000,4433,929,353,115,199,214,273,237,132,155,323,256,381,318,146,192,210,38221,10.551140381763863,7742
17031081100,2680,589,45,184,35,13,34,206,145,85,229,274,274,84,109,155,219,67532,11.120356838597084,3453
17031081300,3654,238,195,53,45,138,136,134,27,91,172,485,302,320,132,241,945,118644,11.683882691685133,5390
17031081500,2825,203,40,102,57,27,28,119,41,128,244,159,505,257,152,129,634,116558,11.666144282176921,4017
17031081600,2462,231,8,35,31,57,55,34,59,44,77,385,455,401,115,154,321,81346,11.30646694118629,3779
17031081700,1683,135,46,41,85,20,25,65,104,37,73,123,188,204,192,188,157,79457,11.282971273810652,2613
17031081800,3576,136,28,30,25,11,31,59,22,136,130,436,546,435,307,495,749,101036,11.523232167958868,5531
